two_theta,intensity
29.64,0.0012937
29.66,0.00164
29.68,0.0023454
29.7,0.0035539
29.72,0.0053492
29.74,0.0074904
29.76,0.0092938
29.78,0.0109179
29.8,0.0129734
29.82,0.0153174
29.84,0.0161045
29.86,0.0138435
29.88,0.0107612
29.9,0.0086183
29.92,0.0070722
29.94,0.0053914
29.96,0.0039251
29.98,0.0031334
30,0.0030697
30.02,0.0036564
30.04,0.0045143
30.06,0.0046778
30.08,0.0036827
30.1,0.0023896
30.12,0.0014115
30.14,0.0008142
30.16,0.0005093
30.18,0.0004116
30.2,0.0004742
30.22,0.0006479
30.24,0.0009923
30.26,0.0014269
30.28,0.0017808
30.3,0.0021011
30.32,0.0026658
30.34,0.0037511
30.36,0.0056982
30.38,0.0089911
30.4,0.0141919
30.42,0.0214845
30.44,0.0286629
30.46,0.0302318
30.48,0.025352
30.5,0.0183501
30.52,0.012156
30.54,0.0078655
30.56,0.0053329
30.58,0.0040668
30.6,0.0036426
30.62,0.0037577
30.64,0.0040399
30.66,0.0039728
30.68,0.0032314
30.7,0.0022183
30.72,0.0014177
30.74,0.0009455
30.76,0.0007671
30.78,0.0008592
30.8,0.0012439
30.82,0.0018771
30.84,0.0026268
30.86,0.0029031
30.88,0.0024304
30.9,0.0017747
30.92,0.0013602
30.94,0.0012562
30.96,0.0014738
30.98,0.0020517
31,0.0031596
31.02,0.0051123
31.04,0.0082883
31.06,0.0127474
31.08,0.0170382
31.1,0.0177405
31.12,0.0144418
31.14,0.010492
31.16,0.0077859
31.18,0.0066861
31.2,0.0069175
31.22,0.007527
31.24,0.0070778
31.26,0.0055939
31.28,0.0039867
31.3,0.0025637
31.32,0.0015104
31.34,0.0008276
31.36,0.0004211
31.38,0.0002036
31.4,0.000153
31.42,0.0002395
31.44,0.000483
31.46,0.000827
31.48,0.0010291
31.5,0.0008338
31.52,0.000438
31.54,0.0001244
31.56,-4.29e-05
31.58,-7.58e-05
31.6,0
31.62,0.0001431
31.64,0.0002902
31.66,0.0003703
31.68,0.0004178
31.7,0.0005146
31.72,0.0007237
31.74,0.0010563
31.76,0.0014777
31.78,0.001912
31.8,0.0024608
31.82,0.003415
31.84,0.0051323
31.86,0.0080532
31.88,0.0125801
31.9,0.0184171
31.92,0.0228802
31.94,0.0224233
31.96,0.0190233
31.98,0.0156629
32,0.0130925
32.02,0.0119717
32.04,0.0118765
32.06,0.0109298
32.08,0.0086225
32.1,0.0063626
32.12,0.0047937
32.14,0.0038621
32.16,0.0035614
32.18,0.0039824
32.2,0.0052616
32.22,0.0074519
32.24,0.0099562
32.26,0.0108462
32.28,0.0091289
32.3,0.0065327
32.32,0.0044195
32.34,0.0029069
32.36,0.0018515
32.38,0.0011774
32.4,0.0007743
32.42,0.0005432
32.44,0.0004473
32.46,0.0004957
32.48,0.0006892
32.5,0.0009445
32.52,0.0010106
32.54,0.0007602
32.56,0.0003956
32.58,0.0001406
32.6,0
32.62,-4.84e-05
32.64,-2.65e-05
32.66,4.58e-05
32.68,0.0001573
32.7,0.000325
32.72,0.00059
32.74,0.0010226
32.76,0.0017521
